collection	dc.contributor.author	dc.date.issued	dc.description.abstract[es_ES]	dc.description[es_ES]	dc.language.iso[es_ES]	dc.publisher	dc.publisher.country	dc.relation.ispartofseries[es_ES]	dc.rights.uri[es_ES]	dc.rights[*]	dc.rights[es_ES]	dc.subject.ocde	dc.subject[es_ES]	dc.title[es_ES]	dc.type.other	dc.type[es_ES]
"123456789/36711"	""	"1858"	""	"1 fotografía: b/n; 221x165 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0046"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. de la Unión, calle de la Merced"	"Vista general de la iglesia de la Merced [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1858"	""	"1 fotografía: b/n; 240x180 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0047"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. Ucayali"	"Vista general de la iglesia de San Pedro [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1890"	""	"1 fotografía: b/n; 148x231 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0048"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. Trujillo - Rímac"	"Vista de la fachada de la iglesia de Las Campanas (antigua capilla en la bajada del Puente de Piedra). [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1970"	""	"1 fotografía: b/n; 230x171 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0049"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. Ancash"	"Vista general lateral de la iglesia y convento de San Francisco. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 241x182 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0050"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. Ancash"	"Vista general de la iglesia y convento de San Francisco. Se ve la fachada de la iglesia de la Soledad [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1890"	""	"1 fotografía: b/n; 218x157 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0051"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. Camaná"	"Aspecto de un claustro del convento de Santo Domingo. Se aprecia la torre de la iglesia después del incendio de 1862 [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1921"	""	"1 fotografía: b/n; 149x177 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0052"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Adyacente al Puente de Piedra"	"Vista de la fachada de la iglesia de los Desamparados (hoy desaparecida), transformada por Piérola. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1860"	""	"1 fotografía: b/n; 235x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0053"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Adyacente al Puente de Piedra"	"Vista de la fachada de la iglesia de los Desamparados (hoy desaparecida), y aspecto del Arco del Puente [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1870"	""	"1 fotografía: b/n; 240x182 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0054"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Esq. Jr. Rufino y Av. Emancipación"	"Vista general de la iglesia de San Marcelo (antes de su transformación en el Oncenio de Leguía), se aprecia la pila de la plazuela [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1892"	""	"1 fotografía: b/n; 219x159 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0055"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza del Congreso"	"Plaza de la Inquisición florida, antes de la apertura de la Av. Abancay, con estatua de Bolívar. Al fondo la transformada  iglesia de La Caridad, hoy desaparecida [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1860"	""	"1 fotografía: sepia; 232x172 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0056"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza del Congreso"	"Plaza de la Inquisición (hoy Plaza del Congreso), antes de la apertura de la Av. Abancay. Al fondo  la  iglesia de La Caridad, hoy desaparecida [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	""	""	"1 fotografía: b/n; 115x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0057"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Fachada de la Catedral de Lima. Muerte de los Hermanos Gutiérrez [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1889"	""	"1 fotografía: b/n; 215x143 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0058"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Fachada del almacén \"Grand bon marché de Lima\" [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1919"	"En la hoy Plaza San Martín, en el solar que ocupa el Gran Hotel Bolívar"	"1 fotografía: b/n; 217x180 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0059"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	""	"Famoso local \"El Palacio de Cartón\", usado para circo, teatro, variedades, etc. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1899"	""	"1 fotografía: b/n; 217x154 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0060"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Jr. de la Unión. Calle de Espaderos"	"Fachada del almacén \"G. Welsch y Ca.\" (antiguo local, hoy desaparecido) [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 238x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0061"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Francia"	"Fachada del convento de Los Recoletos en la Plaza Francia durante el matrimonio Pardo-Barreda. Se aprecia un aspecto de la iglesia de La Recoleta y numerosas calesas en la plaza [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1924"	""	"1 fotografía: b/n; 240x140 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0062"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Parque de la Exposición"	"Fachada del comedor y restaurant del Jardín de la Exposición; también conocido como \"Restaurant del Zoológico\" [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1896"	""	"1 fotografía: b/n; 175x111 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0063"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Dos de Mayo"	"Coche cerrado de invierno, jalado por caballos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1898"	""	"1 fotografía: b/n; 196x165 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0064"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"s/u."	"La Palizada. Grupo conformado por Fernando Soria, Menacho, Pastor, Paz y otros [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1910"	""	"1 fotografía: b/n; 230x171 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0065"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Cantina del famoso Jardín Estrasburgo [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1890"	""	"1 fotografía: sepia; 204x156 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0066"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Fachada de la perfumería y peluquería \"Antigua Casa Guillon\" [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1860"	""	"1 fotografía: b/n; 146x247 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0067"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima, calle Plateros, hoy Ucayali"	"Fachada de la firma Broggi Hermanos; decorada, al parecer, para el paso de alguna procesión [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1898"	""	"1 fotografía: b/n; 217x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0068"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Tranvía de la Exposición. Grupo de jóvenes limeñas subiendo al tranvía. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 219x135 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0069"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Tranvía a caballo, línea Monserrate-Cercado. Grupo de hombres empujando el vagón [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 220x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0070"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Calle de Jesús María"	"Primer tranvía eléctrico que recorrió Lima. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1885"	""	"1 fotografía: sepia; 232x172 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0071"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Fachada de la estación de la Encarnación (Ferrocarril Inglés) Lima-Chorrillos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1889"	""	"1 fotografía: b/n; 240x180 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0072"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Locomotora \"La Favorita\". Ferrocarril Central, estación de Desamparados. [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1919"	""	"1 fotografía: b/n; 157x115 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0073"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Primer ómnibus para pasajeros llegado a Lima, llamado \"La Perrera\" [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1914"	""	"1 fotografía: b/n; 225x118 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0074"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Rímac"	"Tranvía de la línea Los Descalzos en una calle del Rímac en un día de carnaval [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 238x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0075"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Tranvías jalados a caballos, uno de la línea Matienzo-Santa Clara; al fondo se aprecia la Catedral de Lima [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1898"	""	"1 fotografía: b/n; 219x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0076"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Chorrillos"	"Tranvía, jalado a caballos, entre Chorrillos y Barranco [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1922"	""	"1 fotografía: b/n; 177x137 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0077"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Automóvil Ford-T [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1904"	""	"1 fotografía: b/n; 195x160 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0078"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"El primer carro a motor traído al Perú por el Dr. Ricardo Flores [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1922"	""	"1 fotografía: b/n; 177x134 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0079"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Coche Victoria, jalado a caballos [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1906"	""	"1 fotografía: b/n; 239x179 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0080"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Plaza Mayor de Lima"	"Tranvía jalado a caballos, línea Matienzo-Santa Clara [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1922"	""	"1 fotografía: b/n; 177x132 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0081"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Tranvía eléctrico urbano [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1922"	""	"1 fotografía: b/n; 178x132 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0082"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima"	"Ómnibus de pasajeros [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
"123456789/36711"	""	"1911"	""	"1 fotografía: b/n; 240x180 mm"	"spa"	"Archivo Histórico Riva-Agüero. Instituto Riva-Agüero. Pontificia Universidad Católica del Perú"	"PE"	"ELE-0083"	"http://creativecommons.org/licenses/by-nc-nd/2.5/pe/"	"Atribución-NoComercial-SinDerivadas 2.5 Perú"	"info:eu-repo/semantics/openAccess"	"http://purl.org/pe-repo/ocde/ford#6.00.00"	"Lima-Sta. Beatriz"	"Automóvil. Grupo de personas llegando al Hipódromo de Sta. Beatriz [fotografía]"	"Fotografía"	"info:eu-repo/semantics/stillImage"
